호출이름,스타일,성별,ID,속도,피치,설명

# ==========================================
# [1] 한국어 - 선희 (무료 아나운서)
# ==========================================
선희_기본,General,여성,ko-KR-SunHiNeural,0,0,가장 깔끔한 아나운서 기본 톤
선희_쇼츠,General,여성,ko-KR-SunHiNeural,+20%,0,[쇼츠용] 1.2배속. 답답하지 않게 정보 전달
선희_차분,General,여성,ko-KR-SunHiNeural,-10%,-2Hz,다큐/설명조 흉내 (약간 느리고 낮게)
선희_텐션,General,여성,ko-KR-SunHiNeural,+5%,+5Hz,약간 들뜬 톤 (밝은 느낌 흉내)

# ==========================================
# [2] 한국어 - 인준 (무료 남성 / 변조 연기)
# ==========================================
인준_기본,General,남성,ko-KR-InJoonNeural,0,0,중저음 남성 표준
인준_쇼츠,General,남성,ko-KR-InJoonNeural,+20%,0,[쇼츠용] 1.2배속. 남성 목소리 쇼츠 최적화
인준_화남,General,남성,ko-KR-InJoonNeural,+30%,+5Hz,성격 급하고 따지는 톤 (빠르고 높음)
인준_우울,General,남성,ko-KR-InJoonNeural,-15%,-5Hz,힘없고 축 처진 톤 (느리고 낮음)

# ==========================================
# [3] 영어 - 성인 (쇼츠 추가)
# ==========================================
미국_여자,General,여성,en-US-AriaNeural,0,0,미국 표준 여성 (뉴스/유튜브 국룰)
미국_여자_쇼츠,General,여성,en-US-AriaNeural,+20%,0,[쇼츠용] 영어 쇼츠, 틱톡 스타일
미국_남자,General,남성,en-US-GuyNeural,0,0,미국 표준 남성 (가장 자연스러운 일반인)
미국_남자_쇼츠,General,남성,en-US-GuyNeural,+20%,0,[쇼츠용] 영어권 남성 쇼츠 스타일

# ==========================================
# [4] 영어 - 노년층 (변조)
# ==========================================
미국_할매,General,여성,en-US-MichelleNeural,-10%,-5Hz,중년 여성 -> 노년 느낌으로 변조
미국_할배,General,남성,en-US-ChristopherNeural,-10%,-5Hz,중년 남성 -> 노년 느낌으로 변조

# ==========================================
# [5] 영어 - 청년/어린이 (변조)
# ==========================================
미국_소녀,General,여성,en-US-AnaNeural,0,+10Hz,소녀 목소리를 더 어린아이처럼
미국_청년,General,남성,en-US-EricNeural,+10%,0,에너지 넘치는 쾌활한 청년
